name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Tibold Noé, Luxembourg,3,,,3,,,,,
Tran Nick, OB Bordtennis,3,,3,,,,,,
Viherlaiho Leon, Finland,3,,,3,,,,,
Alvarado David, LinnePartille PK,2,2,,,,,,,
Berg Sivert, Fokus BTK,2,2,,,,,,,
Bøhler Thomassen Felix, Fokus BTK,2,2,,,,,,,
David Hold Cristian, Silkeborg BTK,2,2,,,,,,,
Elsen Luka, Luxembourg,2,,,2,,,,,
Engström Lukas, LinnePartille PK,2,2,,,,,,,
Floreby Axel, Linköpings Pingisklubb,2,2,,,,,,,
Hovdenak Noah, Fokus BTK,2,2,,,,,,,
Häggström Axel, Norrtulls SK,2,,,2,,,,,
Lambinet Noah, Luxembourg,2,,,2,,,,,
Nelly Edvard, Ängby SK,2,,,2,,,,,
Papsø Mikkel, Silkeborg BTK,2,2,,,,,,,
Pullinen Leonid, Finland,2,,,2,,,,,
Soploher Jona, Svanesunds GIF,2,2,,,,,,,
Theisen Max, Luxembourg,2,,,2,,,,,
Vaher Andrus, LTK Kalev,2,,,2,,,,,
Brunzell Kevin, Ängby SK,1,,1,,,,,,
Bunge Tristan, Ängby SK,1,,1,,,,,,
Ekström André, Tullinge TP BTK,1,,1,,,,,,
Grähs Manne, Uppsala BTK,1,,1,,,,,,
Jedland Emil, Uppsala BTK,1,,1,,,,,,
Käld Areskoug Kimmy, Tullinge TP BTK,1,,1,,,,,,
Larsson Vidar, Uppsala BTK,1,,1,,,,,,
Ljunggren Richard, Ängby SK,1,,1,,,,,,
Mäkelä Ola, Uppsala BTK,1,,1,,,,,,
Pelling Vincent, Uppsala BTK,1,,1,,,,,,
Sträm Jacob, Ängby SK,1,,1,,,,,,
Sörensen Frederik Vater, Virum-Sorgenfri BTK,1,,1,,,,,,
Tideman Liam, Uppsala BTK,1,,1,,,,,,
Vonebjerg Benjamin, OB Bordtennis,1,,1,,,,,,
