name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Hjertman Ruben, Spårvägens BTK,8,2,1,1,4,,,,
Højslet Gustav, Ribe BTK,8,3,5,,,,,,
Ingeström Albin, Ängby SK,8,3,3,2,,,,,
Mattsson Anton, Lyckeby BTK,8,1,3,,4,,,,
Svedlund Ivan, Spårvägens BTK,8,5,3,,,,,,
Appelros Elias, Carlshamns BTK,7,3,3,,1,,,,
Elebring Felix, Linköpings Pingisklubb,7,2,,5,,,,,
Randall Harry, England,7,,,,7,,,,
Rengbrandt Lucas, Trelleborgs BTK,7,1,3,2,1,,,,
Bölenius Pontus, Boo KFUM IA,6,,3,1,2,,,,
Olsson Frank, Spårvägens BTK,6,1,3,1,1,,,,
Olsson William, Söderhamns UIF,6,5,,1,,,,,
Åkerstedt Filip, Karlsborgs BTK,6,,3,3,,,,,
Adolphson Noa, Spårvägens BTK,5,,3,2,,,,,
Af Winklerfelt Axel, Trelleborgs BTK,5,2,1,,2,,,,
Ah-King Lo, Hammarby IF BTF,5,5,,,,,,,
Bjerke Ebbe, BTK Safir,5,3,,2,,,,,
Carlsson Hannes, KFUM Kristianstad BTF,5,2,1,,2,,,,
Eriksson Antony, Tibble-Kungsängen BTK,5,,3,2,,,,,
Fuchs Matan, Rishon LeZion,5,,,5,,,,,
Grunfeld Tomy, Rishon LeZion,5,,,5,,,,,
Jerdborg Love, Lekstorps IF,5,,3,,2,,,,
Martinsson Hugo, Lekstorps IF,5,1,3,,1,,,,
Norburg Harald, Ängby SK,5,,3,2,,,,,
Pham Johnny, IFK Täby BTK,5,2,,1,2,,,,
Phan William, IFK Klagshamn,5,,1,,4,,,,
Rosenberg Bergholt Villads, Hvidovre Bordtennis,5,,1,2,2,,,,
Salmi Lenny, Västerås BTK,5,,,5,,,,,
Svanström Alvin, Lyckeby BTK,5,1,3,,1,,,,
Thomas Türi Frank, LTK Kalev,5,,,5,,,,,
Tolinsson Elliot, Solna BTK,5,3,,2,,,,,
Zhu William, Spårvägens BTK,5,,,5,,,,,
Andrae Jacob, Malmö IF,4,3,1,,,,,,
Appelgren Isac, Lekstorps IF,4,1,3,,,,,,
Asterhed Arvid, Lyckeby BTK,4,2,1,,1,,,,
Blecher Bruno, Norrtulls SK,4,1,3,,,,,,
Bravo Eliah, Upplands Väsby BTK,4,,3,1,,,,,
Eineving Karl, Mölndals BTK,4,1,3,,,,,,
Koch Liedes Alexander, Horreds BTK,4,1,3,,,,,,
Persson Melker, Trelleborgs BTK,4,2,1,,1,,,,
Saeby Lauritsen Aksel, Roskilde BTK,4,,,,4,,,,
Sivertsen Fredrik, Fokus BTK,4,,,,4,,,,
Strand Alvar, Solna BTK,4,,,2,2,,,,
Stucki Harry, Hammarby IF BTF,4,2,,2,,,,,
Troske Elliott, Ängby SK,4,2,1,1,,,,,
Appelblad Christensen Hugo, IFK Täby BTK,3,,,3,,,,,
Bigander Vincent, Rotebro BTK,3,3,,,,,,,
Dommermuth Sivertsen Fredrik, Fokus BTK,3,3,,,,,,,
Drake Leonard, Svanesunds GIF,3,,3,,,,,,
Durakovic Neo, BTK Safir,3,,,3,,,,,
Frøseth Jonas, Tingvoll BTK,3,3,,,,,,,
Haegerstam Hampus, Linköpings PK,3,,,3,,,,,
Häggström Nils, Spårvägens BTK,3,,,2,1,,,,
Höij Axel, Ängby SK,3,,,3,,,,,
Johansson Kenneth, Rotebro BTK,3,3,,,,,,,
Lambinet Noah, Luxembourg,3,,,3,,,,,
Lindahl Linus, Dänningelanda BTK,3,,,3,,,,,
Lydén Lindblom Arvid, IFK Täby BTK,3,2,,1,,,,,
Nilsson Oscar, BTK Frej,3,,1,,2,,,,
Tang Dylan, Fokus BTK,3,2,,,1,,,,
Terentjevs Kirils, Latvia,3,,,3,,,,,
Theisen Max, Luxembourg,3,,,3,,,,,
Zmara Vito, Ortvikens PK,3,,1,2,,,,,
Arvidsson Ture, Linköpings Pingisklubb,2,2,,,,,,,
Forsberg Carl, Lekstorps IF,2,2,,,,,,,
Gran Victor, Åsa IF,2,1,1,,,,,,
Gustafsson Åmark Arvid, Mölndals BTK,2,1,1,,,,,,
Johansson Gustav, Fokus BTK,2,1,,,1,,,,
Koivumäki Jimi, TIP-70,2,,,2,,,,,
Kraiko Martin, LTK Kalev,2,,,2,,,,,
Luks Arturs, Latvia,2,,,2,,,,,
Nordman Måns, Solna BTK,2,,,2,,,,,
Oinas Luka, OPT-86,2,,,2,,,,,
Oskarsson David, Eslövs AI BTK,2,1,1,,,,,,
Pelles Alexander, Norrtulls SK,2,,,2,,,,,
Razi Siddiqi Bassam Babar, Roskilde BTK,2,,,,2,,,,
Stahl Eriksen Felix, Virum-Sorgenfri BTK,2,,1,,1,,,,
Tibblin Emil, Stratos Enköping BTK,2,,,2,,,,,
Werkström Felix, Lyckeby BTK,2,,1,,1,,,,
Wicktor Alexander, Trelleborgs BTK,2,,1,,1,,,,
Asp Albin, Norrtälje BTK,1,,,,1,,,,
Björk Hugo, Vaggeryds BTK,1,,1,,,,,,
Brandt Edvard, Rotebro BTK,1,1,,,,,,,
Brouwer Didrik, Mölndals BTK,1,1,,,,,,,
Emanuels Pupins Benjamins, Latvia,1,,,1,,,,,
Erlandsen Niklas, Fokus BTK,1,1,,,,,,,
Fredriksson Albin, Spårvägens BTK,1,,,1,,,,,
Freij Kelvered Oliver, Mölndals BTK,1,1,,,,,,,
Gustafsson Gunnar, Boo KFUM IA,1,,,1,,,,,
Hobeoja Ottomar, LTK Kalev,1,,,1,,,,,
Holkedahl Erik, Rotebro BTK,1,1,,,,,,,
Häggander Melker Svenesunds GIF,1,,1,,,,,,
Isaksson John, Kungsbacka BTK,1,1,,,,,,,
Itzik Roi, Haifa,1,,,1,,,,,
Kozintesev Enrico, LTK Kalev,1,,,1,,,,,
Kuivinen Henry, Hammarby IF BTF,1,,,1,,,,,
Månsson Christos, BTK Rekord,1,,1,,,,,,
Patjas Elias, Ängby SK,1,,,1,,,,,
Puljer Torsten, Ortvikens PK,1,,,1,,,,,
Ralfs Zeme Aleksis, Latvia,1,,,1,,,,,
Rusinovs Maksims, Latvia,1,,,1,,,,,
Sandberg Algot, Trelleborgs BTK,1,,1,,,,,,
Sandström Malte, IFK Täby BTK,1,,,1,,,,,
Sharon Harel, Rishon LeZion,1,,,1,,,,,
Vallevi Swiderski Dominik, Lyckeby BTK,1,,,,1,,,,
Zubkov Kirill, LTK Kalev,1,,,1,,,,,
