name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Ellbring Elias, LinnePartille PK,15,5,7,,3,,,,
Larsson Sebastian, Spårvägens BTK,15,5,4,3,3,,,,
Bøhler Thomassen Felix, Fokus BTK,14,9,,,5,,,,
Gustavsson Vidar, Spårvägens BTK,14,5,4,5,,,,,
Blomstrand Lukas, Spårvägens BTK,13,5,7,1,,,,,
Bröms August, Norrtulls SK,13,3,4,3,3,,,,
Devantier Kallestrup Oscar, Brønshøj,12,3,4,5,,,,,
Fly-Kristensen Lasse, BTK Viby,12,5,7,,,,,,
Gerakios Georgios, Sövesborgs BTK,11,,11,,,,,,
Tabbakh Obada, Ortvikens PK,11,5,1,5,,,,,
Bozanovic Emilio, BTK Rekord,10,5,2,3,,,,,
Johansson Hjalmar, Norrtulls SK,10,,4,5,1,,,,
Lindau Arvid, Halmstad BTK,10,3,7,,,,,,
Nilsson Malte, IFK Klagshamn,10,3,4,,3,,,,
Ekeroth Hugo, Halmstad BTK,9,,4,,5,,,,
Lambinet Noah, Luxembourg,9,,,9,,,,,
Lehtola Lassi, Finland,9,,,9,,,,,
Ljunggren Richard, Ängby SK,9,,4,5,,,,,
Myrhage Axel, Askims BTK,9,3,4,1,1,,,,
Radiven Max, England,9,,,,9,,,,
Sandegren Oskar, Spårvägens BTK,9,5,4,,,,,,
Wigelius Aron, IFK Lund Bordtennis,9,3,1,,5,,,,
Andersson Samuel, Halmstad BTK,8,2,1,2,3,,,,
Beijer Josef, IFK Lund Bordtennis,8,3,2,,3,,,,
Bildhjerd Alwin, Ängby SK,8,,,3,5,,,,
Elebring Felix, Linköpings Pingisklubb,8,3,,5,,,,,
Gierup David, Uppsala BTK,8,3,2,3,,,,,
Larsson Hugo, Ljungsbro BTK,8,3,,,5,,,,
Lundh Gabriel, Spårvägens BTK,8,3,4,1,,,,,
Persson Oscar, IFK Österåkers BTK,8,,,3,5,,,,
Sträm Jacob, Ängby SK,8,3,4,1,,,,,
Adolphson Noa, Spårvägens BTK,7,,4,3,,,,,
Brunzell Kevin, Ängby SK,7,,7,,,,,,
Guldstrand Oliver, BTK Rekord,7,3,1,,3,,,,
Gustafsson Benjamin, Eslövs AI BTK,7,3,4,,,,,,
Højslet Gustav, Ribe BTK,7,3,4,,,,,,
Ibrahim Noah, Vestegnen BTK,7,3,4,,,,,,
Jacobsen Markus, Amager BTK,7,3,4,,,,,,
Kingham Issac, England,7,,7,,,,,,
Li Ethan, Spårvägens BTK,7,3,,3,1,,,,
Lund Heinig David, Hvidovre Bordtennis,7,,7,,,,,,
Lundin Benjamin, Askims BTK,7,3,,3,1,,,,
Trygg Tor, Spårvägens BTK,7,1,,1,5,,,,
Weston Sixten, Spårvägens BTK,7,,,5,2,,,,
Zhou Kevin, Vestegnen BTK,7,3,4,,,,,,
Bergqvist David, Norrtulls SK,6,1,1,3,1,,,,
Bölenius Pontus, Boo KFUM IA,6,,1,5,,,,,
Engström Vilmer, LinnePartille PK,6,1,4,,1,,,,
Høier Erik, Brönshöj,6,3,,3,,,,,
Majdalani Viktor, Spårvägens BTK,6,,,3,3,,,,
Mäkelä Ola, Uppsala BTK,6,1,4,1,,,,,
Ahrenholt Jensen Marcus, Hilleröd Bordtennis,5,,4,1,,,,,
Dunkley Ben, England,5,,,,5,,,,
Flores Halldén Benjamin, Ängby SK,5,,,5,,,,,
Gilad Levin, Rishon LeZion,5,,,5,,,,,
Gjörling Rasmus, Ängby SK,5,,,5,,,,,
Häger Gustav, Spårvägens BTK,5,1,,1,3,,,,
Høghøj Bedsted Janus, Brønshøj,5,1,4,,,,,,
Klingström Walter, Tibble-Kungsängen BTK,5,1,1,3,,,,,
Kongsdal Andreas, Vestegnen BTK,5,3,2,,,,,,
Käld Areskoug Kimmy, Tullinge TP BTK,5,,2,3,,,,,
Nielsen Snorre, Amager BTK,5,3,2,,,,,,
Nordenskiöld Frid Max, Spårvägens BTK,5,,,5,,,,,
Randall Harry, England,5,,,,5,,,,
Santander Munoz Gabriel, Spårvägens BTK,5,1,,1,3,,,,
Sivertsen Fredrik, Fokus BTK,5,,,,5,,,,
Soploher Jona, Svanesunds GIF,5,,,5,,,,,
Tibold Noé, Luxembourg,5,,,5,,,,,
Alfredsson Max, Gefle PK,4,,,1,3,,,,
Alfredsson Morgan, Gefle PK,4,,,1,3,,,,
Bjerke Ebbe, BTK Safir,4,1,,3,,,,,
Bunge Tristan, Ängby SK,4,,4,,,,,,
Engström Alexander, Hammarby IF BTF,4,3,,1,,,,,
Eriksson Anthony, Tibble-Kungsängen BTK,4,,1,3,,,,,
Fischer Mio, Norrtulls SK,4,1,1,1,1,,,,
Hallberg Leon, Halmstad BTK,4,,4,,,,,,
Häggander Tore, Svanesunds GIF,4,,4,,,,,,
Häggström Axel, Norrtulls SK,4,1,1,1,1,,,,
Martinsson Hugo, Lekstorps IF,4,3,,,1,,,,
Ramnäs Leo, Mölndals BTK,4,,4,,,,,,
Rode Von Essen Theodor, Virum-Sorgenfri BTK,4,,4,,,,,,
Vonebjerg Simom, OB Bordtennis,4,,4,,,,,,
Asterhed Arvid, Lyckeby BTK,3,1,1,,1,,,,
Brandt Edvard, Rotebro BTK,3,3,,,,,,,
Budal Zune, Vestegnen BTK,3,3,,,,,,,
Dommermuth Sivertsen Fredrik, Fokus BTK,3,3,,,,,,,
Durakovic Neo, BTK Safir,3,,,3,,,,,
Frøseth Jonas, Tingvoll BTK,3,3,,,,,,,
Gardshol Martin, Stenungsunds BTF,3,3,,,,,,,
Grunfeld Tomy, Rishon LeZion,3,,,3,,,,,
Gustafsson Melker, Dänningelanda BTK,3,,1,1,1,,,,
Haegerstam Hampus, Linköpings PK,3,,,3,,,,,
Hermann Magne, Lekstorps IF,3,,,,3,,,,
Itzik Roi, Haifa,3,,,3,,,,,
Jerdborg Love, Lekstorps IF,3,,,,3,,,,
Jonasson Karl, BTK Frej,3,1,1,,1,,,,
Kraiko Martin, LTK Kalev,3,,,3,,,,,
Krook Joel, Askims BTK,3,3,,,,,,,
Larsson Vidar, Uppsala BTK,3,,,,3,,,,
Mattbäck Kean, Söderhamns UIF,3,,,3,,,,,
Persson Fredrik, IFK Lund Bordtennis,3,1,2,,,,,,
Rosenberg Bergholt Villads, Denmark,3,,,3,,,,,
Sahr Aaron, Luxembourg,3,,,3,,,,,
Strand Alvar, Solna BTK,3,,,,3,,,,
Theisen Max, Luxembourg,3,,,3,,,,,
Arnell Elling, LinnePartille PK,2,1,1,,,,,,
Bengtsson Simon, Halmstad BTK,2,1,1,,,,,,
Bengtsson Tage, KFUM Kristianstad BTF,2,1,1,,,,,,
Bjerke Einar, BTK Safir,2,2,,,,,,,
Börjesson Filip, Tomelilla AIS,2,1,1,,,,,,
Johansson Gustav, Fokus BTK,2,1,,,1,,,,
Nilsson Noa, IFK Lund Bordtennis,2,1,1,,,,,,
Pelling Vincent, Uppsala BTK,2,,2,,,,,,
Wu Erik, Askims BTK,2,1,,,1,,,,
Aaagard Torum Mats, Fokus BTK,1,,,,1,,,,
Aaagard Torum Ulrik, Fokus BTK,1,,,,1,,,,
Ah-King Lo, Hammarby IF BTF,1,1,,,,,,,
Bigander Vincent, Rotebro BTK,1,1,,,,,,,
Blecher Bruno, Norrtulls SK,1,,1,,,,,,
Bravo Eliah, Upplands Väsby BTK,1,,1,,,,,,
Eneroth Otto, Lyckeby BTK,1,,,,1,,,,
Ferm Sebastian, BTK Rekord,1,,1,,,,,,
Fuchs Matan, Rishon LeZion,1,,,1,,,,,
Häggström Nils, Spårvägens BTK,1,,,,1,,,,
Jedland Emil, Uppsala BTK,1,,1,,,,,,
Johansson Elis, Rotebro BTK,1,1,,,,,,,
Johansson Kenneth, Rotebro BTK,1,1,,,,,,,
Månsson Panagiotis, BTK Rekord,1,,1,,,,,,
Olsson Frank, Spårvägens BTK,1,,,,1,,,,
Petersson Tintin, IFK Klagshamn,1,,,,1,,,,
Påhlman Oscar, BTK Rekord,1,,1,,,,,,
Rengbrandt Lucas, Trelleborgs BTK,1,,1,,,,,,
Salmi Lenny, Västerås BTK,1,,,1,,,,,
Sandberg Melvin, Stenungsunds BTF,1,1,,,,,,,
Storskog Vincent, Spårvägens BTK,1,,1,,,,,,
Svanström Alvin, Lyckeby BTK,1,,1,,,,,,
Thomas Türi Frank, LTK Kalev,1,,,1,,,,,
Tibblin Emil, Stratos Enköping BTK,1,,,1,,,,,
Törnkvist Hampus, Halmstad BTK,1,,1,,,,,,
Wellsjö Emil, Uppsala BTK,1,,,1,,,,,
Zubkov Kirill, LTK Kalev,1,,,1,,,,,
Öberg Zebastian, IFK Visby,1,1,,,,,,,
