name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Byström William, Lekstorps IF,1,1,,,,,,,
Bölenius Pontus, Boo KFUM IA,1,,1,,,,,,
Ekström André, Tullinge TP BTK,1,,1,,,,,,
Eneroth Otto, Lyckeby BTK,1,,,,1,,,,
Engström Vilmer, LinnePartille PK,1,1,,,,,,,
Falk Joel, Norrtulls SK,1,,,1,,,,,
Fischer Mio, Norrtulls SK,1,,1,,,,,,
Floreby Axel, Linköpings Pingisklubb,1,1,,,,,,,
Gjörling Rasmus, Ängby SK,1,,,1,,,,,
Hermann Magne, Lekstorps IF,1,1,,,,,,,
Häggander Tore, Svanesunds GIF,1,,1,,,,,,
Höghöj Bedsted Janus, Brönshöj,1,,1,,,,,,
Jedland Emil, Uppsala BTK,1,,1,,,,,,
Jonasson Karl, BTK Frej,1,,,,1,,,,
Lundin Filip, Askims BTK,1,1,,,,,,,
Majdalani Viktor, Spårvägens BTK,1,,,,1,,,,
Mattbäck Kean, Söderhamns UIF,1,,,1,,,,,
Myrhage Axel, Askims BTK,1,,1,,,,,,
Nilsson Malte, IFK Klagshamn,1,,,,1,,,,
Pelling Vincent, Uppsala BTK,1,,1,,,,,,
Pihl Emil, Lekstorps IF,1,1,,,,,,,
Ramnäs Leo, Mölndals BTK,1,,1,,,,,,
Santander Munoz Gabriel, Spårvägens BTK,1,,,,1,,,,
Storskog Vincent, Spårvägens BTK,1,,1,,,,,,
Strid Axel, Ängby SK,1,,,1,,,,,
Strindberg Fabian, Söderhamns UIF,1,,,1,,,,,
Tantalos Theo, Lekstorps IF,1,1,,,,,,,
Theisen Max, Luxembourg,1,,,1,,,,,
Tideman Liam, Uppsala BTK,1,,1,,,,,,
Tran Tuan, Hammarby IF BTF,1,,,1,,,,,
Vonebjerg Simon, OB Bordtennis,1,,1,,,,,,
