name,club,total,p1,p2,p3,p4,p5,p6,p7,p8
Ramnäs Leo, Mölndals BTK,1,,1,,,
Santander Munoz Gabriel, Spårvägens BTK,1,,,,1,
Schaub Adam, Västers BTK,1,,,,,1
Storskog Vincent, Spårvägens BTK,1,,1,,,
Strid Axel, Ängby SK,1,,,1,,
Strindberg Fabian, Söderhamns UIF,1,,,1,,
Swedmark Torsten, Boo KFUM IA,1,,,,,1
Theisen Max, Luxembourg,1,,,1,,
Tideman Liam, Uppsala BTK,1,,1,,,
Tran Tuan, Hammarby IF BTF,1,,,1,,
Vonebjerg Simon, OB Bordtennis,1,,1,,,
